YYYY-MM-DD-HH:MM:SS;FT0101[l/m];FT0401[m3/h];PT0101[Bar];PT0102[Bar];PT0201[Bar];PT0202[Bar];PT0301[Bar];PT0302[Bar];PT0303[Bar];CV0201[%];PT0203[Bar];PT0301[Bar];act_mode3;act_mode1;act_mode4;p;t_w[K];speed[RPM];outlet_pressure[Bar];p_lo_min[W];p_lo_max[W];DBB_ANTI_CYCLING_TRI;DBB_ANTI_CYCLING_TIM;equal_period_count;time_in_stop;last_time_in_stop;speed_avedev;M2_warning_out;M2_alarm_out;M2_reset_out;M2_cntCycles;M2_pumpToff;M2_pumpToffAvg;M2_pumpToffVar;M2_algState;M3_warning_out;M3_alarm_out;M3_reset_out;M3_cumVol;M3_edgeType;M3_edgeDetectionStat;M3_maxVol_warning;M3_maxVol_alarm;M3_Tevent;M2_cumVol;M3_qAvg;pump_output_control_;M2_plumbingCheck_cnt;M2_plumbingCheck_cnt;M2_plumbingCheck_cnt;M2_plumbingCheck_dpd;M2_PlumbingCheck_fla;M2_PlumbingWarning;FT0106;PT0106;FT0103;FT0104;FT0105;PV0106;SC0401;M2_stp_alg
2023-09-21 12:35:54:010;0.00; 0.00; 0.000; 4.27; 4.20; 4.19; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.52; 0.00; 4.295; 0.00; 571.00; 40.00; 5.00; 1.00; 110.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 90.80; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:54:130;0.00; 0.00; 0.000; 4.27; 4.20; 4.19; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.50; 0.00; 4.295; 0.00; 571.00; 40.00; 5.00; 1.00; 110.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 90.80; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:54:250;0.00; 0.00; 0.000; 4.27; 4.20; 4.18; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.52; 0.00; 4.296; 0.00; 571.00; 40.00; 5.00; 1.00; 110.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 91.30; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:54:370;0.00; 0.00; 0.000; 4.27; 4.20; 4.19; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.52; 0.00; 4.296; 0.00; 571.00; 40.00; 5.00; 1.00; 110.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 91.30; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:54:490;0.00; 0.00; 0.000; 4.27; 4.19; 4.18; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.52; 0.00; 4.296; 0.00; 571.00; 40.00; 5.00; 1.00; 110.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 91.30; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:54:610;0.00; 0.00; 0.000; 4.27; 4.20; 4.19; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.52; 0.00; 4.296; 0.00; 571.00; 40.00; 5.00; 1.00; 110.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 91.30; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:54:730;0.00; 0.00; 0.000; 4.27; 4.20; 4.18; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.52; 0.00; 4.296; 0.00; 571.00; 40.00; 5.00; 1.00; 110.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 91.30; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:54:850;0.00; 0.00; 0.000; 4.27; 4.20; 4.19; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.52; 0.00; 4.295; 0.00; 571.00; 40.00; 5.00; 1.00; 111.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 91.70; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:54:970;0.00; 0.00; 0.000; 4.27; 4.20; 4.18; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.52; 0.00; 4.296; 0.00; 571.00; 40.00; 5.00; 1.00; 111.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 91.70; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:55:090;0.00; 0.00; 0.000; 4.27; 4.20; 4.19; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.52; 0.00; 4.296; 0.00; 571.00; 40.00; 5.00; 1.00; 111.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 91.70; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:55:210;0.00; 0.00; 0.000; 4.27; 4.20; 4.19; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.50; 0.00; 4.296; 0.00; 571.00; 40.00; 5.00; 1.00; 111.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 91.70; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:55:330;0.00; 0.00; 0.000; 4.27; 4.20; 4.19; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.52; 0.00; 4.296; 0.00; 571.00; 40.00; 5.00; 1.00; 111.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 92.10; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:55:450;0.00; 0.00; 0.000; 4.27; 4.20; 4.19; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.52; 0.00; 4.296; 0.00; 571.00; 40.00; 5.00; 1.00; 111.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 92.10; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:55:570;0.00; 0.00; 0.000; 4.27; 4.20; 4.19; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.50; 0.00; 4.296; 0.00; 571.00; 40.00; 5.00; 1.00; 111.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 92.10; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:55:690;0.00; 0.00; 0.000; 4.27; 4.20; 4.19; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.50; 0.00; 4.296; 0.00; 571.00; 40.00; 5.00; 1.00; 111.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 92.10; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:55:810;0.00; 0.00; 0.000; 4.27; 4.20; 4.18; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.52; 0.00; 4.296; 0.00; 571.00; 40.00; 5.00; 1.00; 112.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 92.50; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:55:930;0.00; 0.00; 0.000; 4.27; 4.20; 4.19; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.52; 0.00; 4.296; 0.00; 571.00; 40.00; 5.00; 1.00; 112.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 92.50; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:56:050;0.00; 0.00; 0.000; 4.27; 4.20; 4.19; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.52; 0.00; 4.296; 0.00; 571.00; 40.00; 5.00; 1.00; 112.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 92.50; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:56:170;0.00; 0.00; 0.000; 4.27; 4.20; 4.19; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.52; 0.00; 4.295; 0.00; 571.00; 40.00; 5.00; 1.00; 112.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 92.50; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:56:290;0.00; 0.00; 0.000; 4.27; 4.20; 4.19; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.52; 0.00; 4.296; 0.00; 571.00; 40.00; 5.00; 1.00; 112.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 92.90; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:56:410;0.00; 0.00; 0.000; 4.27; 4.20; 4.19; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.52; 0.00; 4.296; 0.00; 571.00; 40.00; 5.00; 1.00; 112.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 92.90; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:56:530;0.01; 0.00; 0.000; 4.27; 4.20; 4.19; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.52; 0.00; 4.296; 0.00; 571.00; 40.00; 5.00; 1.00; 112.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 92.90; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:56:650;0.01; 0.00; 0.000; 4.27; 4.20; 4.18; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.52; 0.00; 4.295; 0.00; 571.00; 40.00; 5.00; 1.00; 112.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 92.90; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:56:770;0.00; 0.00; 0.000; 4.27; 4.20; 4.19; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.52; 0.00; 4.296; 0.00; 571.00; 40.00; 5.00; 1.00; 113.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 93.30; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:56:890;0.00; 0.00; 0.000; 4.27; 4.20; 4.19; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.52; 0.00; 4.296; 0.00; 571.00; 40.00; 5.00; 1.00; 113.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 93.30; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:57:010;0.01; 0.00; 0.000; 4.27; 4.20; 4.19; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.52; 0.00; 4.296; 0.00; 571.00; 40.00; 5.00; 1.00; 113.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 93.30; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:57:130;0.01; 0.00; 0.000; 4.27; 4.20; 4.19; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.52; 0.00; 4.296; 0.00; 571.00; 40.00; 5.00; 1.00; 113.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 93.30; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:57:250;0.01; 0.00; 0.000; 4.27; 4.20; 4.19; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.52; 0.00; 4.296; 0.00; 571.00; 40.00; 5.00; 1.00; 113.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 93.80; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-09-21 12:35:57:370;0.01; 0.00; 0.000; 4.27; 4.20; 4.19; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.52; 0.00; 4.296; 0.00; 571.00; 40.00; 5.00; 1.00; 113.00; 188.00; 250.00; 0.00; 0.00; 0.00; 1.00; 93.80; 95.62; 3102.69; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 13.78; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.28; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
